BUFFER_ConvenienceStoreA_1_FROM,From: Peter Good,,
BUFFER_ConvenienceStoreA_1_SUBJECT,How are things?,,
BUFFER_ConvenienceStoreA_1_TEXT,"Hi Dan, hope you are well. Have you had any luck getting any pharmaceuticals delivered out there in the Valley? My usual Mainland contact has stopped returning my calls and emails. Supplies are low, and people are starting to notice the delay.
 Peter.
",,
BUFFER_ConvenienceStoreA_1_TO,To: Dan Presnell,,
BUFFER_ConvenienceStoreA_2_FROM,From: Dak,,
BUFFER_ConvenienceStoreA_2_SUBJECT,School Trip,,
BUFFER_ConvenienceStoreA_2_TEXT,"15 Candy Bars, 10 packets of Beef Jerky, 5 cans of peaches, 15 bottles of Water. (Who knew kids could eat this much in a weekend?)
 **Add this to next order, please.**",,
BUFFER_ConvenienceStoreA_2_TO,To: Peter Good,,
BUFFER_ConvenienceStoreA_3_FROM,From: Peter Good,,
BUFFER_ConvenienceStoreA_3_SUBJECT,Please!,,
BUFFER_ConvenienceStoreA_3_TEXT,"Antibiotics, painkillers, antiseptic, whatever you have. We’re down to nothing and it’s all my fault.",,
BUFFER_ConvenienceStoreA_3_TO,Depot 23,,
BUFFER_ConvenienceStoreA_4_FROM,From: Peter Good,,
BUFFER_ConvenienceStoreA_4_SUBJECT,Patience,,
BUFFER_ConvenienceStoreA_4_TEXT,"Hank, I can barely get dog food delivered out this far right now. Quit asking me to restock the beer fridge. You’ll just have to wait like the rest of us. Believe me, when they arrive, I’ll buy you one myself.
 Peter.",,
BUFFER_ConvenienceStoreA_4_TO,To: Hank McDermott,,
BUFFER_CrashMountainRegion_1_FILENAME,Robbie_09.doc,,
BUFFER_CrashMountainRegion_1_TEXT,"The jumpseat's all there is, so I said sign me up. Got to get home ASAP. There’s a chance it’s too late anyway.",,
BUFFER_CrashMountainRegion_2_FILENAME,Robbie_11.doc,,
BUFFER_CrashMountainRegion_2_TEXT,They're promising me a bumpy ride. Sounds about right. Nothing and no one left this far north.,,
BUFFER_CrashMountainRegion_3_FILENAME,ForAngie.doc,,
BUFFER_CrashMountainRegion_3_TEXT,"I made it down somehow. Ankle’s twisted up good. This damn computer’s going to make it longer than me, looks like. Angie, I'm sorry.",,
BUFFER_CrashMountainRegion_4_FILENAME,ForAngie2.doc,,
BUFFER_CrashMountainRegion_4_TEXT,"One more trip up north. The way things are going it'll be the last, either way. But walking away right now feels good, if there's any good left in all of this.",,
BUFFER_Dam_1_FROM,From: Ted Wallace,E-mail: from address,
BUFFER_Dam_1_SUBJECT,Lower Dam sketchy windows,E-mail: subject line,
BUFFER_Dam_1_TEXT,"Hey Geoff, just finished my shift. Couple things -- keep an eye on the windows in the Lower Dam. The wind’s really been picking up down there this week and those old windows don’t look too sturdy. Just stay safe when doing your rounds, brother. This whole place is falling down around us.","Email exchange between Geoff and Teddy Wallace, two brothers, 21 and 25, Dam employees",
BUFFER_Dam_1_TO,To:    Geoff Wallace,E-mail: to address,
BUFFER_Dam_2_FROM,From: Geoff Wallace,E-mail: from address,
BUFFER_Dam_2_SUBJECT,Keep your head up,E-mail: subject line,
BUFFER_Dam_2_TEXT,"Teddy, just a heads up for when you clock in tonight, old McPherson finished off a whole bottle again and is sleeping it off in his office. Not the first time, I know, but the schedule is still the schedule. FYI I patched some concrete around Turbine #2 today. It might still be wet when you get here.","Email exchange between Geoff and Teddy Wallace, two brothers, 21 and 25, Dam employees",
BUFFER_Dam_2_TO,To:    Ted Wallace,E-mail: to address,
BUFFER_Dam_3_FROM,From: Ted Wallace,E-mail: from address,
BUFFER_Dam_3_SUBJECT,Clarke visit,E-mail: subject line,
BUFFER_Dam_3_TEXT,"Geoff, please plan on backing me up when Mr. Clarke visits next week. McPherson won’t say it, but we need more help out here. You and I can’t get this work done on our own. Not sure why you can’t just see things my way for once.","Email exchange between Geoff and Teddy Wallace, two brothers, 21 and 25, Dam employees",
BUFFER_Dam_3_TO,To:    Geoff Wallace,E-mail: to address,
BUFFER_Dam_4_FROM,From: Geoff Wallace,E-mail: from address,
BUFFER_Dam_4_SUBJECT,Re: Clarke visit,E-mail: subject line,
BUFFER_Dam_4_TEXT,"Roger that on the meeting with Clarke, Teddy. It’ll work out. I’m still grateful for the work, even if this whole project is pretty crazy. Once I patch my boat this Spring you’ll see it was worth it. Back out on the water, finally! Have a good shift.","Email exchange between Geoff and Teddy Wallace, two brothers, 21 and 25, Dam employees",
BUFFER_Dam_4_TO,To:    Ted Wallace,E-mail: to address,
BUFFER_Dam_5_FROM,From: Ted Wallace,E-mail: from address,
BUFFER_Dam_5_SUBJECT,Guess who's back?,E-mail: subject line,
BUFFER_Dam_5_TEXT,"Geoff, don’t forget to talk with McPherson after you clock in today. Remember that trapper we hired to clear wolves from Winding River last Fall? McPherson found him lurking inside the fence line yesterday, uninvited. He slipped away as soon as McPherson spotted him, but we’ll want to keep an eye out, after what happened last year. We don’t want that guy just wandering around. He’s been out in the woods a long time, and is so...unpredictable. Creeps me out.","Email exchange between Geoff and Teddy Wallace, two brothers, 21 and 25, Dam employees",
BUFFER_Dam_5_TO,To:    Geoff Wallace,E-mail: to address,
BUFFER_DamTransitionZone_1_FILENAME,mcpherson_46.doc,,
BUFFER_DamTransitionZone_1_TEXT,Vaughn left through the Winding River exit again without his safety harness. I’ve asked Teddy Wallace to check his gear next time Vaughn has work out on that side. Has my request for additional help been processed yet? Some of these guys are loose cannons.,,
BUFFER_DamTransitionZone_2_FILENAME,mcpherson_12.doc,,
BUFFER_DamTransitionZone_2_TEXT,"Witnessed Benton improperly accessing service panel #7 on the second turbine. He will get himself killed, or lose an arm to an electrical burn the next time he does this.",,
BUFFER_DamTransitionZone_3_FILENAME,mcpherson_54.doc,,
BUFFER_DamTransitionZone_3_TEXT,"he didn’t say, but what he did find was Hays on the ground in the main bathroom. He said he slipped on water from the ongoing leak we’ve been dealing with. A fractured elbow, which means we’re down a man during the refit.",,
BUFFER_DamTransitionZone_4_FILENAME,mcpherson_22.doc,,
BUFFER_DamTransitionZone_4_TEXT,"Conduit D caught fire in the lower corridor, but the suppression system failed. The Wallace brothers were first to arrive and managed to contain it. I’d like to see their response recognized by the company, which you can read in the attached memo.",,
BUFFER_DamTransitionZone_5_FILENAME,mcpherson_33.doc,,
BUFFER_DamTransitionZone_5_TEXT,"We spotted that local trapper again, our “ghost.” This time he was lurking out beyond the boundary of the Dam’s property. He seems to know some hidden trails to pass over to Winding River without dealing with our fence line. If in next quarter’s budget, please send some company reps to make contact with him. We badly need the local help, and he might be a good contact.",,
BUFFER_Email,E-Mail,"Title string for the Buffer Memory ""E-Mail"" application, Modern appearance",
BUFFER_FishingCabinD_1_FILENAME,LOG-09.doc,,
BUFFER_FishingCabinD_1_TEXT,"Barren catch today. Winds picked up and turned offshore, so I had to come in early. As expected.",,
BUFFER_FishingCabinD_2_FILENAME,LOG-014.doc,,
BUFFER_FishingCabinD_2_TEXT,"Caught sight of another giant trawler today, maybe 10 miles off. Definitely American, but couldn’t tell you its home port. I bet they’re busier than I am.",,
BUFFER_FishingCabinD_3_FILENAME,LOG-856.doc,,
BUFFER_FishingCabinD_3_TEXT,"With prices as they are, it pays to fish. But only if I can get the damn things into my boat. The funding and supplies to refit they promised if I helped with that fish survey don’t seem to be showing up. At this rate I’m better off them sending me chewing gum to patch up my dory.",,
BUFFER_FishingCabinD_4_FILENAME,LOG-869.doc,,
BUFFER_FishingCabinD_4_TEXT,"With all the lines I put out today, I was happy to get some decent returns. Been a while since I put down numbers like that in my book. It’s not anything like a recovery, but it lines up with the idea I’ve been havin about the Mainland fleet and their movements.",,
BUFFER_FishingCabinD_5_FILENAME,LOG-953.doc,,
BUFFER_FishingCabinD_5_TEXT,My ropes are fraying so badly I don’t think another repair for some of these lines is going to do it. I wonder when I can expect delivery of the supplies I ordered. A sailboat without a sail doesn’t do anyone any good.,,
BUFFER_LighthouseA_1_FILENAME,LOG-0136.doc,Word processor: filename,
BUFFER_LighthouseA_1_TEXT,"Quake activity getting worse. There’s a fine crack forming along the base of the structure. We need to bring out a crew again to fix it, and soon. None of the little quakes have knocked the lamp too bad, and we’ve had zero downtime, thank God.","Word processor ""logbook"", by Name Unknown, Lighthouse keeper, male, 41",
BUFFER_LighthouseA_2_FILENAME,LOG-0157.doc,Word processor: filename,
BUFFER_LighthouseA_2_TEXT,"Water is leaking through the floor around the drive mechanism up top. The sealant up there looks shot. I went down to Hibernia the other day to see if they had a bit of something I could patch it with, but no luck. A useless bunch, like always. But the fellows there have their own problems, by the looks of it.","Word processor ""logbook"", by Name Unknown, Lighthouse keeper, male, 41",
BUFFER_LighthouseA_3_FILENAME,LOG-0162.doc,Word processor: filename,
BUFFER_LighthouseA_3_TEXT,"The main drive jammed up last night, but no damage to the lens or other components as far as I could tell. A lot of grease and some work with the mallet got it going again. That’s the third time this month we had a breakdown at night. Seas are rough enough this time of year. Anyone coming around the point doesn’t need us making it harder on them.","Word processor ""logbook"", by Name Unknown, Lighthouse keeper, male, 41",
BUFFER_LighthouseA_4_FILENAME,LOG-0171.doc,Word processor: filename,
BUFFER_LighthouseA_4_TEXT,"An odd fellow turned up yesterday, banging on my door. He was frozen solid, and said he’d come through the old mine, up the coast from the Townsite. I warmed him by the fire and gave him hot tea, some of my last. He had dark stories about goings on around the rest of the island, and claimed he was heading north up the highway. The worst of things since the Collapse hadn’t reached us down here at the Point yet, he said. I warned him about the damage to the road and bridges he was going to run into, but it didn’t faze him. He was sleeping right there on the damn floor in front of the stove when I left him. When I came back down after working some on the lens, he was gone.","Word processor ""logbook"", by Name Unknown, Lighthouse keeper, male, 41",
BUFFER_LighthouseA_USERNAME,Default User,"""username"" field for LighthouseA text editor memories",
BUFFER_MaintenanceShedA_1_FROM,From:  Jerry Baltimore,E-mail: from address,
BUFFER_MaintenanceShedA_1_SUBJECT,Checking in - trespassers,E-mail: subject line,
BUFFER_MaintenanceShedA_1_TEXT,"Mr. Dennis,

I took one of the trucks over the Muskeg last night. I think you should know there’s some strange stuff going on over there on the run in to Mystery Lake. I saw a man on the tracks, but he bolted before I could get very close. A couple minutes later as I got closer to the tunnel, some idiots started throwing stones at my rig. Charlie took the truck back out to the Shed this morning, as I’m staying over here at the Breyerhouse Camp near Carter Dam to finish up. But if you’re wondering why the windshield has a big ‘ol crack in it, that’s why. 

Jerry Baltimore, Crew No. 2","Emails by Jerry Baltimore, male, 29",
BUFFER_MaintenanceShedA_1_TO,To:    Rick Dennis,E-mail: to address,
BUFFER_MaintenanceShedA_2_FROM,From:  Jerry Baltimore,E-mail: from address,
BUFFER_MaintenanceShedA_2_SUBJECT,Update - Forest Talkers?,E-mail: subject line,
BUFFER_MaintenanceShedA_2_TEXT,"Mr. Dennis,

We were out in the hills above the Coastal Highway this morning when we saw a couple guys messing with our truck. We chased after them but they had a head start and scampered away before we could get back up there. We found an old knapsack nearby with some papers in it talking about “Forest Talkers”. Some kind of new green group, I bet. They must have done something to the truck, as it was bucking and lurching after that on the drive back to the Lake, including over the trestle! We figured water in the gas tank, but no matter. Was damn scary. 

What does management plan on doing about these guys messing with us? Are you going to back us up?

J. Baltimore, Crew No. 2","Emails by Jerry Baltimore, male, 29",
BUFFER_MaintenanceShedA_2_TO,To:    Rick Dennis,E-mail: to address,
BUFFER_MaintenanceShedA_3_FROM,From:  Jerry Baltimore,E-mail: from address,
BUFFER_MaintenanceShedA_3_SUBJECT,Re: Re: Update - Forest Talkers?,E-mail: subject line,
BUFFER_MaintenanceShedA_3_TEXT,"Mr. Dennis,

Thanks for getting back to me. It’s good to know you passed on the word to management about getting more security out to the Shed. Even if we can’t always keep an eye on everything when we’re out working, it’s good to know our gear should be safe overnight there. 

Jerry, Crew No. 2","Emails by Jerry Baltimore, male, 29",
BUFFER_MaintenanceShedA_3_TO,To:    Rick Dennis,E-mail: to address,
BUFFER_MaintenanceShedA_4_FROM,From:  Jerry Baltimore,E-mail: from address,
BUFFER_MaintenanceShedA_4_SUBJECT,Status update,E-mail: subject line,
BUFFER_MaintenanceShedA_4_TEXT,"Mr. Dennis,

The tremors are getting worse. Any word from above on whether we still have to take the short way to Coastal Highway? Even with a stable trestle, it’s a nervous-enough trip as it is. And our gear is already out in the open over there for the eco hippies still running around the woods this year. I know it’s more gas, and a longer trip, but if we take the long way ‘round, me and the guys would feel a lot better about things. We all thought you should know.

Jerry","Emails by Jerry Baltimore, male, 29",
BUFFER_MaintenanceShedA_4_TO,To:    Rick Dennis,E-mail: to address,
BUFFER_MarshRegion_1_FILENAME,COMSAT_UPLINK1,,
BUFFER_MarshRegion_1_TEXT,"Look, you'll just have to go out there. If we don't keep this contract, we're done. That’s it.",,
BUFFER_MarshRegion_2_FILENAME,COMSAT_UPLINK2,,
BUFFER_MarshRegion_2_TEXT,He wasn't kidding. This old marsh goes on forever. Swallow me right up.,,
BUFFER_MarshRegion_3_FILENAME,COMSAT_UPLINK3,,
